Pathway	GeneID	Symbol	Description	Salt24h_vs_CK_log2FC	Salt24h_vs_CK_padj	Salt48h_vs_CK_log2FC	Salt48h_vs_CK_padj	Salt48h_vs_24h_log2FC	Salt48h_vs_24h_padj
Ubiquitin_Proteasome	CL10147.Contig1_All	sp|Q84L30|RD23D_ARATH/2e-50/Ubiquitin receptor RAD23d OS=Arabidopsis thaliana GN=RAD23D PE=1 SV=2	gi|743800812|ref|XP_010926134.1|/9.65849e-82/PREDICTED: ubiquitin receptor RAD23d-like isoform X3 [Elaeis guineensis]	-0.4109	NA	-0.3288	NA	0.0821	NA
Translation	CL10149.Contig2_All	sp|Q0DKF0|RL102_ORYSJ/3e-104/60S ribosomal protein L10-2 OS=Oryza sativa subsp. japonica GN=SG12 PE=2 SV=1	gi|475595856|gb|EMT23183.1|/2.80886e-109/60S ribosomal protein L10-2 [Aegilops tauschii]	-0.5778	NA	0.0701	NA	0.6479	NA
Serine	CL10151.Contig1_All	sp|Q8GYA4|CRK10_ARATH/4e-70/Cysteine-rich receptor-like protein kinase 10 OS=Arabidopsis thaliana GN=CRK10 PE=1 SV=3	gi|475565588|gb|EMT14831.1|/5.14769e-154/Putative serine/threonine-protein kinase receptor [Aegilops tauschii]	-0.1144	NA	-0.1837	NA	-0.0694	NA
Serine	CL10151.Contig2_All	sp|O64777|Y1643_ARATH/1e-70/G-type lectin S-receptor-like serine/threonine-protein kinase At1g61430 OS=Arabidopsis thaliana GN=At1g61430 PE=2 SV=2	gi|475557852|gb|EMT12925.1|/2.58342e-111/Putative serine/threonine-protein kinase receptor [Aegilops tauschii]	0.465	NA	0.6831	NA	0.2182	NA
Serine	CL10151.Contig3_All	sp|Q9ZT07|RKS1_ARATH/5e-88/G-type lectin S-receptor-like serine/threonine-protein kinase RKS1 OS=Arabidopsis thaliana GN=RKS1 PE=3 SV=3	gi|475557852|gb|EMT12925.1|/0/Putative serine/threonine-protein kinase receptor [Aegilops tauschii]	0.9586	NA	0.3456	NA	-0.613	NA
Transcription	CL10157.Contig1_All	sp|Q84K00|NAC78_ARATH/9e-74/NAC domain-containing protein 78 OS=Arabidopsis thaliana GN=NAC078 PE=2 SV=2	gi|188593543|dbj|BAG32519.1|/0/transcription factor [Hordeum vulgare subsp. vulgare]	0.4676	NA	0.3783	NA	-0.0892	NA
Transcription	CL10157.Contig2_All	sp|Q84K00|NAC78_ARATH/8e-74/NAC domain-containing protein 78 OS=Arabidopsis thaliana GN=NAC078 PE=2 SV=2	gi|188593543|dbj|BAG32519.1|/0/transcription factor [Hordeum vulgare subsp. vulgare]	-0.2271	NA	-0.2179	NA	0.0092	NA
Transcription	CL10157.Contig3_All	sp|Q84K00|NAC78_ARATH/9e-73/NAC domain-containing protein 78 OS=Arabidopsis thaliana GN=NAC078 PE=2 SV=2	gi|188593543|dbj|BAG32519.1|/0/transcription factor [Hordeum vulgare subsp. vulgare]	-0.5185	NA	-0.4915	NA	0.027	NA
Ubiquitin_Proteasome	CL10161.Contig1_All	sp|Q9XG77|PSA6_TOBAC/2e-89/Proteasome subunit alpha type-6 OS=Nicotiana tabacum GN=PAA1 PE=1 SV=1	gi|475510893|gb|EMT05329.1|/3.87693e-138/Proteasome subunit alpha type-6 [Aegilops tauschii]	0.9408	NA	-0.178	NA	-1.1188	NA
Ubiquitin_Proteasome	CL10161.Contig2_All	sp|Q9LSU3|PSA6_ORYSJ/6e-43/Proteasome subunit alpha type-6 OS=Oryza sativa subsp. japonica GN=PAA1 PE=2 SV=1	gi|475510893|gb|EMT05329.1|/1.78577e-62/Proteasome subunit alpha type-6 [Aegilops tauschii]	-0.2955	NA	-3.1699	NA	-2.8745	NA
Ubiquitin_Proteasome	CL10161.Contig3_All	sp|Q9LSU3|PSA6_ORYSJ/1e-54/Proteasome subunit alpha type-6 OS=Oryza sativa subsp. japonica GN=PAA1 PE=2 SV=1	gi|475510893|gb|EMT05329.1|/5.65394e-75/Proteasome subunit alpha type-6 [Aegilops tauschii]	-2.758	NA	-6.8455	NA	-4.0875	NA
Translation	CL10176.Contig4_All	sp|Q8W0W3|TF2B_ORYSJ/2e-124/Transcription initiation factor IIB OS=Oryza sativa subsp. japonica GN=TFIIB PE=1 SV=1	gi|475603317|gb|EMT25381.1|/6.01947e-127/Transcription initiation factor IIB [Aegilops tauschii]	0.063	NA	-0.002	NA	-0.065	NA
Translation	CL10176.Contig5_All	sp|Q8W0W3|TF2B_ORYSJ/2e-128/Transcription initiation factor IIB OS=Oryza sativa subsp. japonica GN=TFIIB PE=1 SV=1	gi|475603317|gb|EMT25381.1|/1.85374e-130/Transcription initiation factor IIB [Aegilops tauschii]	-0.1778	NA	-0.0714	NA	0.1064	NA
Transcription	CL10192.Contig1_All		gi|960470035|ref|XP_014754924.1|/1.00604e-67/PREDICTED: cyclin-D-binding Myb-like transcription factor 1 isoform X2 [Brachypodium distachyon] &gt;gi|944073073|gb|KQK08557.1| hypothetical protein BRADI_2g42500 [Brachypodium distachyon] &gt;gi|944073074|gb|KQK08558.1| hypothetical protein BRADI_2g42500 [Brachypodium distachyon]	1.7866	NA	2.4983	NA	0.7117	NA
Transcription	CL10192.Contig2_All	sp|Q9S7G7|MB3R1_ARATH/3e-06/Myb-related protein 3R-1 OS=Arabidopsis thaliana GN=MYB3R-1 PE=2 SV=1	gi|960470032|ref|XP_014754923.1|/1.78037e-180/PREDICTED: cyclin-D-binding Myb-like transcription factor 1 isoform X1 [Brachypodium distachyon] &gt;gi|944073075|gb|KQK08559.1| hypothetical protein BRADI_2g42500 [Brachypodium distachyon]	0.2597	NA	0.4507	NA	0.191	NA
Transcription	CL10192.Contig3_All		gi|474244500|gb|EMS59931.1|/8.91522e-163/Cyclin-D-binding Myb-like transcription factor 1 [Triticum urartu]	-0.3291	NA	-0.3453	NA	-0.0162	NA
Protein_Kinase_Signalling	CL10203.Contig6_All		gi|721655527|ref|XP_010234211.1|/1.06283e-145/PREDICTED: sulfofructose kinase [Brachypodium distachyon] &gt;gi|944059125|gb|KQJ94715.1| hypothetical protein BRADI_3g12760 [Brachypodium distachyon]	-0.8616	NA	-1.0191	NA	-0.1574	NA
Proline	CL10209.Contig1_All		gi|357143287|ref|XP_003572869.1|/6.80238e-32/PREDICTED: basic proline-rich protein-like [Brachypodium distachyon] &gt;gi|944065403|gb|KQK00994.1| hypothetical protein BRADI_3g53147 [Brachypodium distachyon]	0.3015	NA	-0.2918	NA	-0.5932	NA
Proline	CL10209.Contig2_All		gi|357143287|ref|XP_003572869.1|/1.5351e-31/PREDICTED: basic proline-rich protein-like [Brachypodium distachyon] &gt;gi|944065403|gb|KQK00994.1| hypothetical protein BRADI_3g53147 [Brachypodium distachyon]	1.9316	NA	0.5909	NA	-1.3407	NA
Proline	CL10209.Contig3_All		gi|357143287|ref|XP_003572869.1|/1.4525e-32/PREDICTED: basic proline-rich protein-like [Brachypodium distachyon] &gt;gi|944065403|gb|KQK00994.1| hypothetical protein BRADI_3g53147 [Brachypodium distachyon]	0.2932	NA	1	NA	0.7068	NA
Proline	CL10209.Contig4_All		gi|357143287|ref|XP_003572869.1|/2.53098e-32/PREDICTED: basic proline-rich protein-like [Brachypodium distachyon] &gt;gi|944065403|gb|KQK00994.1| hypothetical protein BRADI_3g53147 [Brachypodium distachyon]	-0.3985	NA	0.1291	NA	0.5276	NA
Proline	CL10209.Contig5_All		gi|357143287|ref|XP_003572869.1|/5.19369e-32/PREDICTED: basic proline-rich protein-like [Brachypodium distachyon] &gt;gi|944065403|gb|KQK00994.1| hypothetical protein BRADI_3g53147 [Brachypodium distachyon]	-0.2519	NA	-0.0426	NA	0.2092	NA
Proline	CL10209.Contig6_All		gi|357143287|ref|XP_003572869.1|/6.34865e-32/PREDICTED: basic proline-rich protein-like [Brachypodium distachyon] &gt;gi|944065403|gb|KQK00994.1| hypothetical protein BRADI_3g53147 [Brachypodium distachyon]	0.5544	NA	0.3993	NA	-0.1552	NA
Proline	CL10209.Contig7_All		gi|357143287|ref|XP_003572869.1|/3.38285e-32/PREDICTED: basic proline-rich protein-like [Brachypodium distachyon] &gt;gi|944065403|gb|KQK00994.1| hypothetical protein BRADI_3g53147 [Brachypodium distachyon]	-0.3812	NA	-0.0416	NA	0.3396	NA
Proline	CL10209.Contig8_All		gi|357143287|ref|XP_003572869.1|/1.04757e-31/PREDICTED: basic proline-rich protein-like [Brachypodium distachyon] &gt;gi|944065403|gb|KQK00994.1| hypothetical protein BRADI_3g53147 [Brachypodium distachyon]	0.6919	NA	0.2256	NA	-0.4663	NA
Sucrose	CL10216.Contig1_All	sp|Q0ILJ3|SUT2_ORYSJ/0.0/Sucrose transport protein SUT2 OS=Oryza sativa subsp. japonica GN=SUT2 PE=2 SV=2	gi|663090059|gb|AIE90174.1|/0/sucrose transporter 2D [Triticum aestivum]	1.3557	NA	1.9422	NA	0.5865	NA
Sucrose	CL10216.Contig3_All	sp|Q0ILJ3|SUT2_ORYSJ/0.0/Sucrose transport protein SUT2 OS=Oryza sativa subsp. japonica GN=SUT2 PE=2 SV=2	gi|663090059|gb|AIE90174.1|/0/sucrose transporter 2D [Triticum aestivum]	-0.8952	NA	-0.3783	NA	0.517	NA
Sucrose	CL10216.Contig4_All	sp|Q0ILJ3|SUT2_ORYSJ/0.0/Sucrose transport protein SUT2 OS=Oryza sativa subsp. japonica GN=SUT2 PE=2 SV=2	gi|663090059|gb|AIE90174.1|/0/sucrose transporter 2D [Triticum aestivum]	0.7582	NA	1.4061	NA	0.6478	NA
Sucrose	CL10216.Contig5_All	sp|Q0ILJ3|SUT2_ORYSJ/0.0/Sucrose transport protein SUT2 OS=Oryza sativa subsp. japonica GN=SUT2 PE=2 SV=2	gi|663090059|gb|AIE90174.1|/0/sucrose transporter 2D [Triticum aestivum]	0.0646	NA	0.5843	NA	0.5197	NA
Transcription	CL1022.Contig4_All	sp|Q338B0|HFA2C_ORYSJ/3e-175/Heat stress transcription factor A-2c OS=Oryza sativa subsp. japonica GN=HSFA2C PE=1 SV=2	gi|721658921|ref|XP_010234740.1|/0/PREDICTED: heat stress transcription factor A-2c-like isoform X2 [Brachypodium distachyon] &gt;gi|944061157|gb|KQJ96747.1| hypothetical protein BRADI_3g26920 [Brachypodium distachyon] &gt;gi|944061160|gb|KQJ96750.1| hypothetical protein BRADI_3g26920 [Brachypodium distachyon] &gt;gi|944061161|gb|KQJ96751.1| hypothetical protein BRADI_3g26920 [Brachypodium distachyon]	-1.387	NA	5.9786	NA	7.3656	NA
Transcription	CL1022.Contig5_All	sp|Q338B0|HFA2C_ORYSJ/1e-126/Heat stress transcription factor A-2c OS=Oryza sativa subsp. japonica GN=HSFA2C PE=1 SV=2	gi|514816681|ref|XP_004983076.1|/1.28675e-172/PREDICTED: heat stress transcription factor A-2c-like isoform X1 [Setaria italica] &gt;gi|514816683|ref|XP_004983077.1| PREDICTED: heat stress transcription factor A-2c-like isoform X1 [Setaria italica] &gt;gi|836028584|ref|XP_012698414.1| PREDICTED: heat stress transcription factor A-2c-like isoform X1 [Setaria italica]	0.4594	NA	1.9526	NA	1.4932	NA
Transcription	CL1022.Contig6_All	sp|Q338B0|HFA2C_ORYSJ/8e-131/Heat stress transcription factor A-2c OS=Oryza sativa subsp. japonica GN=HSFA2C PE=1 SV=2	gi|514816681|ref|XP_004983076.1|/1.57621e-168/PREDICTED: heat stress transcription factor A-2c-like isoform X1 [Setaria italica] &gt;gi|514816683|ref|XP_004983077.1| PREDICTED: heat stress transcription factor A-2c-like isoform X1 [Setaria italica] &gt;gi|836028584|ref|XP_012698414.1| PREDICTED: heat stress transcription factor A-2c-like isoform X1 [Setaria italica]	-1.3785	NA	4.5356	NA	5.9141	NA
Ubiquitin_Proteasome	CL10231.Contig1_All	sp|Q8LE94|RING3_ARATH/6e-19/E3 ubiquitin-protein ligase At3g02290 OS=Arabidopsis thaliana GN=At3g02290 PE=2 SV=1	gi|357137665|ref|XP_003570420.1|/3.01509e-108/PREDICTED: E3 ubiquitin-protein ligase At3g02290 isoform X2 [Brachypodium distachyon] &gt;gi|721667653|ref|XP_010235992.1| PREDICTED: E3 ubiquitin-protein ligase At3g02290 isoform X2 [Brachypodium distachyon] &gt;gi|721667656|ref|XP_010235993.1| PREDICTED: E3 ubiquitin-protein ligase At3g02290 isoform X2 [Brachypodium distachyon] &gt;gi|944065836|gb|KQK01427.1| hypothetical protein BRADI_3g55780 [Brachypodium distachyon] &gt;gi|944065838|gb|KQK01429.1| hypothetical protein BRADI_3g55780 [Brachypodium distachyon]	0.043	NA	-0.3125	NA	-0.3556	NA
