GeneID	EC_Number	GO_Terms	Symbol	Description	Pathway
Cz01g03240	EC:2.1.2.10	GO:0005515	AT1G11860	(1 of 1) K00605 - aminomethyltransferase (gcvT, AMT)	Glycine
Cz01g03250	EC:2.3.1.193	GO:0016747 GO:0016887	AT1G10490	(1 of 1) PTHR10925:SF5 - N-ACETYLTRANSFERASE 10	Protein_Acetylation
Cz01g03260		GO:0016747	AT3G57940	(1 of 2) 2.3.1.193 - tRNA(Met) cytidine acetyltransferase. / tRNA(Met) cytidine acetyltransferase.	Methionine
Cz01g03270	EC:2.3.2.23		AT3G17000	(1 of 1) K10578 - ubiquitin-conjugating enzyme E2 J1 (UBE2J1, NCUBE1, UBC6)	Ubiquitin_Proteasome
Cz01g03280	EC:3.6.3.16		AT1G01910	(1 of 1) K01551 - arsenite-transporting ATPase [EC:3.6.3.16] (arsA, ASNA1)	Metal_Ion_Transport
Cz01g03290	EC:3.6.3.16		AT1G01910	(1 of 1) K01551 - arsenite-transporting ATPase [EC:3.6.3.16] (arsA, ASNA1)	Metal_Ion_Transport
Cz01g03300					Unknown
Cz01g03310					Unknown
Cz01g03320					Unknown
Cz01g04010		GO:0008289	AT5G02100	(1 of 1) PTHR10972:SF165 - OXYSTEROL-BINDING PROTEIN-RELATED PROTEIN 3A	Sterol_Lipid_Metabolism
Cz01g04020		GO:0003676 GO:0003723	AT4G39680	(1 of 1) K12875 - apoptotic chromatin condensation inducer in the nucleus (ACIN1, ACINUS)	Cell_Cycle_Chromatin
Cz01g04030					Unknown
Cz01g04040			AT3G63540	(1 of 14) IPR016123 - Mog1/PsbP, alpha/beta/alpha sandwich	Photosynthesis
Cz01g04050					Unknown
Cz01g04060	EC:3.4.11.5	GO:0006508 GO:0008233	AT2G14260	(1 of 1) K01259 - proline iminopeptidase (pip)	Proline
Cz01g04070		GO:0015631	AT4G39920	(1 of 1) PTHR15139:SF0 - TUBULIN-SPECIFIC CHAPERONE C	Chaperone
Cz01g04080	EC:2.3.1.234		AT4G22720	(1 of 2) 2.3.1.234 - N(6)-L-threonylcarbamoyladenine synthase. / t6A synthase.	tRNA_Modification
Cz01g04090					Unknown
Cz01g04100	EC:6.3.1.2	GO:0003824 GO:0004356 GO:0006807	AT5G35630	(1 of 1) PTHR20852:SF117 - GLUTAMINE SYNTHETASE, CHLOROPLASTIC_MITOCHONDRIAL	Glutamine
Cz01g04110					Unknown
Cz01g04120			AT3G46450	(1 of 1) PTHR47041:SF2 - SEC14 CYTOSOLIC FACTOR FAMILY PROTEIN _ PHOSPHOGLYCERIDE TRANSFER FAMILY PROTEIN	Phospholipid_Biosynthesis
Cz01g04130					Unknown
Cz01g04140	EC:2.3.2.26		AT5G42140	(1 of 1) PTHR22870:SF91 - REGULATOR OF CHROMOSOME CONDENSATION (RCC1) FAMILY WITH FYVE ZINC FINGER DOMAIN-RELATED	Cell_Cycle_Chromatin
Cz01g04150	EC:1.10.3.9		AT1G77090	(1 of 1) PTHR31407:SF38 - PSBP DOMAIN-CONTAINING PROTEIN 4, CHLOROPLASTIC	Photosynthesis
Cz01g04160	EC:1.10.3.9		AT1G77090	(1 of 1) PTHR31407:SF38 - PSBP DOMAIN-CONTAINING PROTEIN 4, CHLOROPLASTIC	Photosynthesis
Cz01g04170	EC:2.7.11.1	GO:0004672 GO:0004713 GO:0005524 GO:0006468	AT1G12680	(1 of 1) PTHR24349:SF261 - SERINE_THREONINE-PROTEIN KINASE PEPKR2	Protein_Kinase_Signalling
Cz01g04180		GO:0005515	AT1G65030	(1 of 1) K14830 - protein MAK11 (MAK11, PAK1IP1)	Translation
Cz01g04190		GO:0005515	AT1G65030	(1 of 1) K14830 - protein MAK11 (MAK11, PAK1IP1)	Translation
Cz01g04200	EC:4.1.1.18 EC:4.1.1.50	GO:0004014 GO:0008295	AT3G02470	(1 of 2) 4.1.1.18//4.1.1.50 - lysine decarboxylase. / L-lysine carboxy-lyase. // adenosylmethionine decarboxylase. / S-adenosyl-L-methionine decarboxylase.	Lysine
Cz01g04210	EC:4.1.1.50	GO:0004014 GO:0008295	AT5G15950	(1 of 2) 4.1.1.18//4.1.1.50 - lysine decarboxylase. / L-lysine carboxy-lyase. // adenosylmethionine decarboxylase. / S-adenosyl-L-methionine decarboxylase.	Lysine
Cz01g04220		GO:0016020 GO:0055085	AT1G02260	(1 of 1) PTHR43302:SF5 - TRANSPORTER ARSB-RELATED	Metal_Ion_Transport
Cz01g04230			AT3G20320	(1 of 1) PTHR34675:SF1 - PROTEIN TRIGALACTOSYLDIACYLGLYCEROL 2, CHLOROPLASTIC	Glycolipid_Biosynthesis
Cz01g04240					Unknown
Cz01g04250	EC:3.1.3.11	GO:0005975 GO:0016791 GO:0042132	AT5G64380	(1 of 3) K03841 - fructose-1,6-bisphosphatase I (FBP, fbp)	Gluconeogenesis
Cz01g04260		GO:0008667 GO:0019290	AT4G05530	(1 of 1) K11147 - dehydrogenase/reductase SDR family member 4 (DHRS4)	Redox_Metabolism
Cz01g05010	EC:3.1.1.32 EC:3.1.1.4		AT3G50790	(1 of 1) K07019 - uncharacterized protein (K07019)	Unknown
Cz01g05020	EC:3.6.4.13	GO:0003676 GO:0005524	AT3G58510	(1 of 1) PTHR47958:SF145 - DEAD-BOX ATP-DEPENDENT RNA HELICASE 11	RNA_Processing
Cz01g05030	EC:3.6.4.13	GO:0003676 GO:0005524	AT3G58510	(1 of 1) PTHR47958:SF145 - DEAD-BOX ATP-DEPENDENT RNA HELICASE 11	RNA_Processing
Cz01g05040	EC:2.7.11.25	GO:0004672 GO:0004713 GO:0005524 GO:0006468	AT3G46920	(1 of 1) PTHR23257:SF797 - KINASE SUPERFAMILY WITH OCTICOSAPEPTIDE_PHOX_BEM1P DOMAIN-CONTAINING PROTEIN	Protein_Kinase_Signalling
Cz01g05050	EC:2.7.11.30		AT4G31170	(1 of 1) PTHR23257:SF942 - PROTEIN KINASE DOMAIN-CONTAINING PROTEIN	Protein_Kinase_Signalling
Cz01g05060	EC:2.7.7.65				Unknown
Cz01g05070			AT1G22180	(1 of 1) PTHR45824:SF6 - GH16843P	Unknown
Cz01g05080	EC:2.7.7.65	GO:0005515			Unknown
Cz01g05090	EC:2.7.11.25	GO:0004672 GO:0004713 GO:0005524 GO:0006468	AT3G46920	(1 of 1) PTHR23257:SF797 - KINASE SUPERFAMILY WITH OCTICOSAPEPTIDE_PHOX_BEM1P DOMAIN-CONTAINING PROTEIN	Protein_Kinase_Signalling
Cz01g05100		GO:0005515			Unknown
Cz01g05110					Unknown
Cz01g05120					Unknown
Cz01g05130					Unknown
Cz01g05140					Unknown
Cz01g05150					Unknown
Cz01g05160	EC:4.1.1.49	GO:0004611 GO:0004612 GO:0005524 GO:0006094 GO:0017076	AT5G65690	(1 of 2) 4.1.1.32//4.1.1.49 - phosphoenolpyruvate carboxykinase (GTP). / phosphopyruvate carboxylase. // phosphoenolpyruvate carboxykinase (ATP). / phosphopyruvate carboxylase.	Gluconeogenesis
Cz01g05170		GO:0016887			Unknown
Cz01g05180			AT1G73240	(1 of 1) K14315 - nucleoporin NDC1 (NDC1, TMEM48)	Nuclear_Transport
Cz01g05190	EC:2.3.1.225	GO:0016409	AT3G09320	(1 of 9) K18932 - palmitoyltransferase (ZDHHC)	Protein_Lipidation
Cz01g05200					Unknown
Cz01g05210					Unknown
Cz01g05220					Unknown
Cz01g05230	EC:1.6.3.5		AT3G04650	(1 of 3) 1.6.3.5 - renalase. / alpha-NAD(P)H oxidase/anomerase.	Redox_Metabolism
Cz01g05240	EC:1.6.3.5		AT3G04650	(1 of 3) 1.6.3.5 - renalase. / alpha-NAD(P)H oxidase/anomerase.	Redox_Metabolism
Cz01g05250					Unknown
Cz01g05260					Unknown
Cz01g05270			AT5G38660	(1 of 1) PF05348//PF11016 - Proteasome maturation factor UMP1 (UMP1) // Protein of unknown function (DUF2854) (DUF2854)	Ubiquitin_Proteasome
Cz01g05275	EC:1.97.1.12	GO:0009522 GO:0015979	ATCG00510	(1 of 1) K02696 - photosystem I subunit VIII (psaI)	Photosynthesis
Cz01g05280					Unknown
Cz01g05290		GO:0008270	AT3G08910	(1 of 1) PTHR24078:SF575 - J DOMAIN-CONTAINING PROTEIN	Chaperone
Cz01g05300					Unknown
Cz01g05310					Unknown
Cz01g05320		GO:0005515	AT1G71440	(1 of 1) KOG2982 - Uncharacterized conserved protein	Unknown
Cz01g06010					Unknown
Cz01g06020					Unknown
Cz01g06030					Unknown
Cz01g06040	EC:3.4.21.107	GO:0004252 GO:0005515 GO:0006508	AT5G36950	(1 of 1) IPR001478//IPR001940//IPR009003//IPR036034//IPR041517//IPR043504//IPR046449 - PDZ domain // Peptidase S1C // Peptidase S1, PA clan // PDZ superfamily // Protease Do-like, PDZ domain // Peptidase S1, PA clan, chymotrypsin-like fold // Protease Do-like, PDZ domain superfamily	Protein_Proteolysis
Cz01g06050	EC:2.7.9.4	GO:0005524 GO:0016301 GO:0016310 GO:0016772	AT1G10760	(1 of 2) 2.7.9.4 - alpha-glucan, water dikinase. / starch-related R1 protein.	Starch
Cz01g06060	EC:2.7.9.4		AT4G24450	(1 of 2) 2.7.9.4 - alpha-glucan, water dikinase. / starch-related R1 protein.	Starch
Cz01g06070					Unknown
Cz01g06080					Unknown
Cz01g06090					Unknown
Cz01g06100		GO:0005515			Unknown
Cz01g06110					Unknown
Cz01g06120					Unknown
Cz01g06130	EC:2.8.1.3				Unknown
Cz01g06140					Unknown
Cz01g06150		GO:0005975 GO:0008061	AT4G01040	(1 of 1) K17525 - chitinase domain-containing protein 1 (CHID1)	Cell_Wall_Remodeling
Cz01g06160		GO:0004601			Unknown
Cz01g06170	EC:3.1.1.3	GO:0006629	AT5G67050	(1 of 1) PTHR46086:SF17 - ALPHA_BETA-HYDROLASES SUPERFAMILY PROTEIN	Unknown
Cz01g06180					Unknown
Cz01g06190					Unknown
Cz01g06200					Unknown
Cz01g06210		GO:0008270			Unknown
Cz01g06220			AT3G48530	(1 of 1) PTHR13780:SF36 - SNF1-RELATED PROTEIN KINASE REGULATORY SUBUNIT GAMMA-1	Protein_Kinase_Signalling
Cz01g06230					Unknown
Cz01g06240					Unknown
Cz01g06250	EC:2.3.1.43				Unknown
Cz01g06260		GO:0005524 GO:0016887	AT1G03000	(1 of 1) K13339 - peroxin-6 (PEX6, PXAAA1)	Peroxisome_Biogenesis
Cz01g07010	EC:2.1.1.197	GO:0003676 GO:0008270 GO:0008757	AT1G69523	(1 of 1) PTHR45036:SF1 - METHYLTRANSF_11 DOMAIN-CONTAINING PROTEIN	Unknown
Cz01g07020	EC:2.7.6.5	GO:0005509 GO:0015969	AT3G17470	(1 of 1) PTHR21262:SF12 - CA2+-ACTIVATED RELA/SPOT-LIKE PROTEIN	Unknown
Cz01g07030		GO:0005515			Unknown
Cz01g07040	EC:2.7.8.23	GO:0003824 GO:0004451 GO:0019752	AT1G77060	(1 of 1) PTHR42905:SF5 - CARBOXYVINYL-CARBOXYPHOSPHONATE PHOSPHORYLMUTASE, CHLOROPLASTIC	Chloroplast_Function
Cz01g07050			AT4G12340	(1 of 1) PTHR47587:SF2 - OS05G0103500 PROTEIN	Unknown
Cz01g07060	EC:3.1.3.16		AT1G09160	(1 of 1) PTHR47992:SF150 - PROTEIN PHOSPHATASE 2C 5-RELATED	Protein_Phosphatase_Signalling
Cz01g07070		GO:0003677	AT2G33620	(1 of 1) PTHR31500:SF57 - AT-HOOK MOTIF NUCLEAR-LOCALIZED PROTEIN 10	Molybdenum_Cofactor
Cz01g07080	EC:6.2.1.44		AT1G77240	(1 of 1) PTHR43859:SF53 - ACYL-ACTIVATING ENZYME 4-RELATED	Unknown
Cz01g07090		GO:0009435			Unknown
Cz01g07100					Unknown
Cz01g07110		GO:0022857 GO:0055085	AT5G44370	(1 of 1) PTHR11662:SF282 - ANION TRANSPORTER 5-RELATED	Unknown
Cz01g07120					Unknown
Cz01g07130					Unknown
Cz01g07140					Unknown
Cz01g07150			AT1G23750	(1 of 1) PTHR31472:SF41 - F5O8.30 PROTEIN	Unknown
Cz01g07160		GO:0016020 GO:0022857 GO:0055085	AT5G16150	(1 of 1) PTHR48022:SF2 - PLASTIDIC GLUCOSE TRANSPORTER 4	Glycolysis
Cz01g07170			AT3G05210	(1 of 1) K10849 - DNA excision repair protein ERCC-1 (ERCC1)	Unknown
Cz01g07180			AT1G44110	(1 of 1) PTHR10177:SF583 - G2_MITOTIC-SPECIFIC CYCLIN-A	Cell_Cycle_Chromatin
Cz01g07190					Unknown
Cz01g07200					Unknown
Cz01g07210		GO:0005672 GO:0006367	AT3G53680	(1 of 2) PTHR47025:SF7 - ACYL-COA N-ACYLTRANSFERASE WITH RING_FYVE_PHD-TYPE ZINC FINGER DOMAIN-CONTAINING PROTEIN	Unknown
Cz01g07220	EC:3.6.4.13		AT1G35530	(1 of 1) K10896 - fanconi anemia group M protein (FANCM)	Unknown
Cz01g07230	EC:3.6.4.13	GO:0003677 GO:0005524 GO:0016787	AT1G35530	(1 of 1) K10896 - fanconi anemia group M protein (FANCM)	Unknown
Cz01g07240		GO:0001181 GO:0006361	AT2G34750	(1 of 3) K15216 - RNA polymerase I-specific transcription initiation factor RRN3 (RRN3, TIFIA)	Translation
Cz01g07250					Unknown
Cz01g08010		GO:0005515	AT2G12550	(1 of 1) IPR000626//IPR009060//IPR015940//IPR029071 - Ubiquitin domain // UBA-like // Ubiquitin-associated domain // Ubiquitin-related domain	Ubiquitin_Proteasome
Cz01g08020		GO:0005515	AT2G12550	(1 of 1) IPR000626//IPR009060//IPR015940//IPR029071 - Ubiquitin domain // UBA-like // Ubiquitin-associated domain // Ubiquitin-related domain	Ubiquitin_Proteasome
Cz01g08030		GO:0006282	AT3G13226	(1 of 1) PTHR33602:SF1 - REGULATORY PROTEIN RECX	DNA_Repair
Cz01g08040		GO:0004176 GO:0004222 GO:0005524 GO:0006508 GO:0016887	AT5G42270	(1 of 2) PTHR23076:SF97 - ATP-DEPENDENT ZINC METALLOPROTEASE FTSH 2, CHLOROPLASTIC-RELATED	Protein_Proteolysis
Cz01g08050			AT4G20910	(1 of 1) 2.1.1.234 - dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucopyranose / dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucopyranose	Unknown
Cz01g08060			AT4G20910	(1 of 1) 2.1.1.234 - dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucopyranose / dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucopyranose	Unknown
Cz01g08070					Unknown
Cz01g08080	EC:3.6.4.5	GO:0003777 GO:0005524 GO:0007018 GO:0008017	AT5G54670	(1 of 2) PTHR47972:SF46 - KINESIN-LIKE PROTEIN	Cytoskeleton
Cz01g08090					Unknown
Cz01g08100					Unknown
Cz01g08110					Unknown
Cz01g08120					Unknown
Cz01g08130			AT3G62730	(1 of 1) PTHR31694:SF22 - DESICCATION-RELATED PROTEIN PCC13-62	Seed_Storage_LEA
Cz01g08140		GO:0003677 GO:0003697 GO:0005524 GO:0006259 GO:0006281 GO:0008094	AT1G79050	(1 of 1) PTHR45900:SF1 - MITOCHONDRIAL DNA REPAIR PROTEIN RECA HOMOLOG-RELATED	DNA_Repair
Cz01g08150	EC:3.6.1.8	GO:0003677 GO:0005524 GO:0006281 GO:0140664	AT1G79050	(1 of 1) PTHR45900:SF1 - MITOCHONDRIAL DNA REPAIR PROTEIN RECA HOMOLOG-RELATED	DNA_Repair
Cz01g08160	EC:5.4.99.26	GO:0001522 GO:0003723 GO:0009451 GO:0009982	AT3G19440	(1 of 2) 5.4.99.24 - 23S rRNA pseudouridine(955/2504/2580) synthase. / 23S rRNA pseudouridine(955/2504/2580) synthase.	tRNA_Modification
Cz01g08170					Unknown
