GeneID	EC_Number	GO_Terms	Symbol	Description	Pathway
Cre01.g053000			Cre01.g053000	protein homodimerization activity glycerol-3-phosphate catabolic process NAD binding carbohydrate metabolic process oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor glycerol-3-phosphate metabolic process oxidoreductase activity cytosol glycerol-3-phosphate dehydrogenase [NAD(P)+] activity	Redox_Metabolism
Cre01.g033400			Cre01.g033400	metal ion binding protein transport mitochondrial inner membrane protein insertion into mitochondrial inner membrane protein transporter activity	Mitochondrial_Transport
Cre01.g015000			Cre01.g015000	ATP binding acetylglutamate kinase activity L-arginine biosynthetic process cytoplasm kinase activity transferase activity nucleotide binding amino acid biosynthetic process	Arginine
Cre01.g020223			Cre01.g020223	fumarate hydratase activity tricarboxylic acid cycle fumarate metabolic process catalytic activity lyase activity mitochondrion malate metabolic process	Unknown
Cre01.g038250			Cre01.g038250	carboxy-lyase activity carboxylic acid metabolic process pyridoxal phosphate binding carbon-carbon lyase activity lyase activity	Vitamin_B6_Pyridoxine
Cre01.g041650			Cre01.g041650	Unknown	Unknown
Cre01.g030100			Cre01.g030100	ATP binding protein kinase activity protein phosphorylation cytoplasm signal transduction	Protein_Kinase_Signalling
Cre01.g000450			Cre01.g000450	transferase activity glycosyltransferase activity Golgi membrane cell wall organization arabinosyltransferase activity cell wall pectin biosynthetic process	Vesicle_Trafficking
Cre01.g021750			Cre01.g021750	regulation of DNA-templated transcription nucleus	Unknown
Cre01.g046500			Cre01.g046500	Unknown	Unknown
Cre01.g007000			Cre01.g007000	ATP binding membrane ATP hydrolysis activity nucleotide binding transmembrane transport ATPase-coupled transmembrane transporter activity ABC-type transporter activity	Unknown
Cre01.g004124			Cre01.g004124	Unknown	Unknown
Cre01.g013600			Cre01.g013600	Unknown	Unknown
Cre01.g038376			Cre01.g038376	Unknown	Unknown
Cre01.g003650			Cre01.g003650	Unknown	Unknown
Cre01.g031004			Cre01.g031004	metal ion binding DNA binding zinc ion binding	Unknown
Cre01.g005950			Cre01.g005950	Unknown	Unknown
Cre01.g055100			Cre01.g055100	zinc ion binding metal ion binding	Unknown
Cre01.g069837			Cre01.g069837	Unknown	Unknown
Cre01.g003541			Cre01.g003541	Unknown	Unknown
Cre01.g044050			Cre01.g044050	proton-transporting V-type ATPase, V0 domain proton transmembrane transport proton-transporting ATPase activity, rotational mechanism monoatomic ion transport endomembrane system vacuolar proton-transporting V-type ATPase, V0 domain	ATP_Synthase
Cre01.g021400			Cre01.g021400	nucleus mRNA processing RNA splicing mRNA splicing, via spliceosome spliceosomal complex U2-type spliceosomal complex	RNA_Splicing
Cre01.g033516			Cre01.g033516	catalytic activity	Unknown
Cre01.g002150			Cre01.g002150	Unknown	Unknown
Cre01.g024350			Cre01.g024350	membrane Golgi membrane protein localization to membrane endosome membrane	Vesicle_Trafficking
Cre01.g032650			Cre01.g032650	carbohydrate metabolic process transaldolase activity cytoplasm pentose-phosphate shunt transferase activity	Pentose_Phosphate
Cre01.g009400			Cre01.g009400	membrane transmembrane transporter activity transmembrane transport monoatomic ion transport sodium ion transport plasma membrane symporter activity	Unknown
Cre01.g019900			Cre01.g019900	Unknown	Unknown
Cre01.g025200			Cre01.g025200	Unknown	Unknown
Cre01.g055412			Cre01.g055412	Unknown	Unknown
Cre01.g006100			Cre01.g006100	iron-sulfur cluster binding	Iron_Sulfur_Cluster
Cre01.g001950			Cre01.g001950	Unknown	Unknown
Cre01.g005001			Cre01.g005001	Unknown	Unknown
Cre01.g050150			Cre01.g050150	FMN binding oxidoreductase activity NADP binding NADPH dehydrogenase activity	Vitamin_B2_Riboflavin
Cre01.g021150			Cre01.g021150	tRNA (uracil(54)-C5)-methyltransferase activity, S-adenosyl methionine-dependent RNA methyltransferase activity RNA processing transferase activity methyltransferase activity methylation tRNA processing cytosol rRNA binding tRNA binding RNA modification S-adenosylmethionine-dependent methyltransferase activity	Methionine
Cre01.g039550			Cre01.g039550	plastid	Chloroplast_Function
Cre01.g072027			Cre01.g072027	catalytic activity membrane endoplasmic reticulum ceramide biosynthetic process sphingolipid catabolic process cell periphery phospholipase activity	Sphingolipid_Metabolism
Cre01.g025050			Cre01.g025050	regulation of DNA-templated transcription zinc ion binding sequence-specific DNA binding metal ion binding	Unknown
Cre01.g038650			Cre01.g038650	RNA binding nucleic acid binding mRNA binding regulation of alternative mRNA splicing, via spliceosome nuclear speck	RNA_Splicing
Cre01.g042050			Cre01.g042050	response to oxidative stress oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor protein repair oxidoreductase activity metal ion binding cytoplasm	Redox_Metabolism
Cre01.g048102			Cre01.g048102	Unknown	Unknown
Cre01.g055465			Cre01.g055465	Unknown	Unknown
Cre01.g034750			Cre01.g034750	Unknown	Unknown
Cre01.g000650			Cre01.g000650	copper ion binding primary methylamine oxidase activity amine metabolic process quinone binding oxidoreductase activity metal ion binding oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor	Redox_Metabolism
Cre01.g017900			Cre01.g017900	oxidoreductase activity protein binding	Redox_Metabolism
Cre01.g046800			Cre01.g046800	Unknown	Unknown
Cre01.g006202			Cre01.g006202	DNA binding	Unknown
Cre01.g004950			Cre01.g004950	lyase activity cytoplasm glyoxalase III activity lactate biosynthetic process	Glyoxalase
Cre01.g041667			Cre01.g041667	Unknown	Unknown
Cre01.g032200			Cre01.g032200	Unknown	Unknown
Cre01.g004926			Cre01.g004926	Unknown	Unknown
Cre01.g035700			Cre01.g035700	Golgi apparatus endoplasmic reticulum to Golgi vesicle-mediated transport Golgi organization small GTPase binding	Vesicle_Trafficking
Cre01.g023850			Cre01.g023850	Unknown	Unknown
Cre01.g038100			Cre01.g038100	monoatomic ion transport plasma membrane thylakoid membrane voltage-gated chloride channel activity photosynthesis, light reaction	Photosynthesis
Cre01.g026300			Cre01.g026300	endoplasmic reticulum membrane protein binding ERAD pathway	ER_Protein_Quality
Cre01.g033450			Cre01.g033450	membrane endoplasmic reticulum ceramide biosynthetic process sphingolipid catabolic process cell periphery phospholipase activity	Sphingolipid_Metabolism
Cre01.g018750			Cre01.g018750	Unknown	Unknown
Cre01.g047600			Cre01.g047600	oxidoreductase activity	Redox_Metabolism
Cre01.g054250			Cre01.g054250	iron ion binding oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen heme binding monooxygenase activity metal ion binding	Redox_Metabolism
Cre01.g034350			Cre01.g034350	nucleus regulation of DNA-templated transcription DNA-binding transcription factor activity, RNA polymerase II-specific RNA polymerase II cis-regulatory region sequence-specific DNA binding regulation of transcription by RNA polymerase II	Transcription
Cre01.g021650			Cre01.g021650	Unknown	Unknown
Cre01.g051050			Cre01.g051050	calcium ion binding	Unknown
Cre01.g005050			Cre01.g005050	membrane Golgi membrane	Vesicle_Trafficking
Cre01.g000950			Cre01.g000950	transmembrane transporter activity transmembrane transport membrane	Unknown
Cre01.g042600			Cre01.g042600	Unknown	Unknown
Cre01.g004651			Cre01.g004651	nucleic acid binding nucleotide binding	Unknown
Cre01.g041256			Cre01.g041256	Unknown	Unknown
Cre01.g016050			Cre01.g016050	RNA binding mRNA splicing, via spliceosome spliceosomal complex U6 snRNA binding U5 snRNA binding peptidase activity metallopeptidase activity nucleus mRNA processing RNA splicing U5 snRNP catalytic step 2 spliceosome U1 snRNA binding U2 snRNA binding pre-mRNA intronic binding spliceosomal tri-snRNP complex assembly protein binding Prp19 complex mRNA cis splicing, via spliceosome spliceosomal conformational changes to generate catalytic conformation	RNA_Splicing
Cre01.g020141			Cre01.g020141	Unknown	Unknown
Cre01.g023800			Cre01.g023800	mRNA binding mRNA export from nucleus THO complex part of transcription export complex	mRNA_Export
Cre01.g040900			Cre01.g040900	Unknown	Unknown
Cre01.g047650			Cre01.g047650	cytoplasm axoneme protein binding	Unknown
Cre01.g041426			Cre01.g041426	Unknown	Unknown
Cre01.g043250			Cre01.g043250	phosphate ion transport	Unknown
Cre01.g001983			Cre01.g001983	Unknown	Unknown
Cre01.g020305			Cre01.g020305	membrane	Unknown
Cre01.g000750			Cre01.g000750	zinc ion binding	Unknown
Cre01.g050608			Cre01.g050608	positive regulation of DNA-templated transcription SWI/SNF complex	Cell_Cycle_Chromatin
Cre01.g008402			Cre01.g008402	ATP binding protein kinase activity protein phosphorylation cytoplasm signal transduction	Protein_Kinase_Signalling
Cre01.g022681			Cre01.g022681	Unknown	Unknown
Cre01.g029450			Cre01.g029450	nucleus DNA binding DNA repair DNA damage response DNA replication chromosome histone binding nucleosome binding FACT complex	DNA_Repair
Cre01.g004900			Cre01.g004900	lyase activity cytoplasm glyoxalase III activity lactate biosynthetic process	Glyoxalase
Cre01.g040150			Cre01.g040150	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity cytoplasm intracellular signal transduction	Serine
Cre01.g011350			Cre01.g011350	nucleus transcription initiation at RNA polymerase II promoter protein heterodimerization activity transcription factor TFIID complex RNA polymerase II general transcription initiation factor activity	Translation
Cre01.g017650			Cre01.g017650	Unknown	Unknown
Cre01.g016500			Cre01.g016500	Unknown	Unknown
Cre01.g051750			Cre01.g051750	Unknown	Unknown
Cre01.g055400			Cre01.g055400	nucleolus	Ribosome_Biogenesis
Cre01.g032400			Cre01.g032400	protein binding	Unknown
Cre01.g036451			Cre01.g036451	Unknown	Unknown
Cre01.g061807			Cre01.g061807	membrane calcium ion transmembrane transport calcium channel activity	Unknown
Cre01.g009765			Cre01.g009765	Unknown	Unknown
Cre01.g040379			Cre01.g040379	helicase activity cytoplasm RNA binding nuclear-transcribed mRNA catabolic process, nonsense-mediated decay RNA helicase activity	RNA_Processing
Cre01.g041400			Cre01.g041400	Unknown	Unknown
Cre01.g030900			Cre01.g030900	fatty acid metabolic process medium-chain fatty acid-CoA ligase activity	Fatty_Acid
Cre01.g044350			Cre01.g044350	Unknown	Unknown
Cre01.g016750			Cre01.g016750	photosynthesis photosystem II chloroplast thylakoid membrane nonphotochemical quenching	Photosynthesis
Cre01.g013900			Cre01.g013900	protein kinase activity protein phosphorylation	Protein_Kinase_Signalling
Cre01.g043817			Cre01.g043817	Unknown	Unknown
Cre01.g016001			Cre01.g016001	Unknown	Unknown
Cre01.g031050			Cre01.g031050	regulation of transcription by RNA polymerase II regulation of DNA-templated transcription elongation nucleus mRNA binding transcription elongation by RNA polymerase II DSIF complex DNA-templated transcription elongation	RNA_Polymerase
Cre01.g002350			Cre01.g002350	NEDD8 activating enzyme activity protein neddylation ubiquitin-like modifier activating enzyme activity cytoplasm	Ubiquitin_Proteasome
Cre01.g043000			Cre01.g043000	catalytic activity RNA methyltransferase activity tRNA methylation iron-sulfur cluster binding rRNA base methylation rRNA processing transferase activity methyltransferase activity methylation metal ion binding cytoplasm	One_Carbon_Metabolism
Cre01.g013700			Cre01.g013700	transmembrane transport mitochondrial outer membrane voltage-gated monoatomic anion channel activity monoatomic ion transport mitochondrion monoatomic anion transmembrane transport porin activity pore complex	Unknown
Cre01.g025850			Cre01.g025850	iron ion binding cytoplasm inositol catabolic process inositol oxygenase activity oxidoreductase activity metal ion binding L-ascorbic acid biosynthetic process	Vitamin_C_Ascorbate
Cre01.g037200			Cre01.g037200	Unknown	Unknown
Cre01.g045000			Cre01.g045000	extracellular region extracellular space	Unknown
Cre01.g009700			Cre01.g009700	protein serine/threonine phosphatase activity	Serine
Cre01.g021800			Cre01.g021800	protein binding	Unknown
Cre01.g025983			Cre01.g025983	Unknown	Unknown
Cre01.g021950			Cre01.g021950	microtubule-based movement dynein complex dynein light intermediate chain binding dynein intermediate chain binding cilium minus-end-directed microtubule motor activity cilium movement involved in cell motility 9+2 motile cilium	Cytoskeleton
Cre01.g032600			Cre01.g032600	glycosyltransferase activity transferase activity membrane	Unknown
Cre01.g000800			Cre01.g000800	Unknown	Unknown
Cre01.g029750			Cre01.g029750	ATP binding 'de novo' pyrimidine nucleobase biosynthetic process pyrimidine nucleotide biosynthetic process nucleobase-containing compound metabolic process nucleobase-containing compound kinase activity transferase activity kinase activity nucleotide binding cytoplasm nucleotide biosynthetic process phosphotransferase activity, phosphate group as acceptor nucleoside monophosphate phosphorylation cytosol AMP kinase activity pyrimidine-containing compound biosynthetic process nucleoside monophosphate metabolic process	Pyrimidine
Cre01.g049300			Cre01.g049300	Unknown	Unknown
Cre01.g031951			Cre01.g031951	Unknown	Unknown
Cre01.g047700			Cre01.g047700	peptidyl-prolyl cis-trans isomerase activity protein folding protein peptidyl-prolyl isomerization cytoplasm isomerase activity cyclosporin A binding protein binding	Proline
Cre01.g004600			Cre01.g004600	DNA-binding transcription factor activity DNA binding regulation of DNA-templated transcription nucleus DNA-binding transcription factor activity, RNA polymerase II-specific regulation of transcription by RNA polymerase II cis-regulatory region sequence-specific DNA binding response to starvation	Transcription
Cre01.g027350			Cre01.g027350	RNA binding RNA methyltransferase activity tRNA methylation RNA processing transferase activity methyltransferase activity methylation tRNA (guanine) methyltransferase activity	Purine
Cre01.g037600			Cre01.g037600	Unknown	Unknown
Cre01.g020350			Cre01.g020350	membrane tricarboxylic acid cycle electron transfer activity metal ion binding mitochondrion mitochondrial electron transport, succinate to ubiquinone respiratory chain complex II (succinate dehydrogenase)	Ubiquinone_Biosynthesis
Cre01.g020850			Cre01.g020850	intracellular signal transduction cyclic nucleotide biosynthetic process membrane nucleotide binding lyase activity plasma membrane guanylate cyclase activity cGMP biosynthetic process peptide receptor activity receptor guanylyl cyclase signaling pathway	Unknown
Cre01.g035450			Cre01.g035450	membrane calcium ion transmembrane transport Golgi apparatus calcium channel activity	Vesicle_Trafficking
Cre01.g054950			Cre01.g054950	Unknown	Unknown
Cre01.g000033			Cre01.g000033	Unknown	Unknown
Cre01.g053750			Cre01.g053750	protein modification process	Unknown
Cre01.g004400			Cre01.g004400	Unknown	Unknown
Cre01.g010350			Cre01.g010350	lipoyl(octanoyl) transferase activity protein lipoylation transferase activity acyltransferase activity mitochondrion protein modification process	Unknown
Cre01.g011400			Cre01.g011400	Unknown	Unknown
Cre01.g011600			Cre01.g011600	cytoplasm zinc ion binding signal transduction protein binding	Unknown
Cre01.g029000			Cre01.g029000	methyltransferase activity	One_Carbon_Metabolism
Cre01.g026800			Cre01.g026800	Unknown	Unknown
Cre01.g002100			Cre01.g002100	kinase activity transferase activity metal ion binding chloroplast membrane zinc ion binding phytol kinase activity	Vitamin_E_Tocopherol
Cre01.g004450			Cre01.g004450	Unknown	Unknown
Cre01.g037450			Cre01.g037450	Unknown	Unknown
Cre01.g023750			Cre01.g023750	regulation of DNA-templated transcription transcription coregulator activity	Unknown
Cre01.g012800			Cre01.g012800	Unknown	Unknown
Cre01.g053900			Cre01.g053900	metal ion binding cytosol nucleus peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity glycoprotein catabolic process	Asparagine
Cre01.g038500			Cre01.g038500	iron ion binding oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen heme binding monooxygenase activity metal ion binding	Redox_Metabolism
Cre01.g047800			Cre01.g047800	metal ion binding iron-sulfur cluster binding mitochondrial matrix	Iron_Sulfur_Cluster
Cre01.g021850			Cre01.g021850	ATP binding nucleic acid binding nucleotide binding helicase activity hydrolase activity RNA binding RNA helicase activity	RNA_Processing
Cre01.g003450			Cre01.g003450	RNA binding regulation of cell cycle regulation of RNA splicing	Unknown
Cre01.g027850			Cre01.g027850	NADH dehydrogenase complex assembly	Redox_Metabolism
Cre01.g047400			Cre01.g047400	ATP binding DNA binding DNA helicase activity nucleus 3'-5' DNA helicase activity recombinational repair	Unknown
Cre01.g025808			Cre01.g025808	nucleus regulation of DNA-templated transcription chromatin remodeling chromatin histone reader activity	Cell_Cycle_Chromatin
Cre01.g045400			Cre01.g045400	DNA binding	Unknown
Cre01.g014300			Cre01.g014300	Unknown	Unknown
Cre01.g033250			Cre01.g033250	Unknown	Unknown
Cre01.g009676			Cre01.g009676	Unknown	Unknown
Cre01.g023913			Cre01.g023913	Unknown	Unknown
Cre01.g011660			Cre01.g011660	extracellular space	Unknown
Cre01.g010300			Cre01.g010300	Unknown	Unknown
Cre01.g032450			Cre01.g032450	membrane Golgi membrane	Vesicle_Trafficking
Cre01.g057791			Cre01.g057791	Unknown	Unknown
Cre01.g012950			Cre01.g012950	ATP binding protein kinase activity protein phosphorylation plasma membrane	Protein_Kinase_Signalling
Cre01.g025150			Cre01.g025150	Unknown	Unknown
Cre01.g047001			Cre01.g047001	Unknown	Unknown
Cre01.g050500			Cre01.g050500	cytoplasm mRNA binding mRNA processing protein binding	Unknown
Cre01.g015250			Cre01.g015250	DNA binding nucleic acid binding nucleotide binding DNA-directed DNA polymerase activity transferase activity nucleus hydrolase activity metal ion binding nuclease activity DNA replication iron-sulfur cluster binding nucleotidyltransferase activity zinc ion binding exonuclease activity DNA biosynthetic process DNA-templated DNA replication 3'-5'-DNA exonuclease activity base-excision repair, gap-filling nucleotide-excision repair, DNA gap filling DNA replication proofreading delta DNA polymerase complex DNA polymerase activity	Iron_Sulfur_Cluster
Cre01.g007500			Cre01.g007500	membrane transmembrane transporter activity transmembrane transport monoatomic ion transport sodium ion transport plasma membrane symporter activity	Unknown
Cre01.g017400			Cre01.g017400	Unknown	Unknown
Cre01.g041200			Cre01.g041200	Unknown	Unknown
Cre01.g008250			Cre01.g008250	Unknown	Unknown
Cre01.g044300			Cre01.g044300	phosphate ion transport	Unknown
Cre01.g044950			Cre01.g044950	Unknown	Unknown
Cre01.g019200			Cre01.g019200	rRNA processing preribosome, small subunit precursor nucleus regulation of transcription by RNA polymerase II transcription coactivator activity chromosome positive regulation of DNA-templated transcription	Ribosome_Biogenesis
Cre01.g017951			Cre01.g017951	axoneme protein binding	Unknown
Cre01.g055436			Cre01.g055436	Unknown	Unknown
Cre01.g052300			Cre01.g052300	regulation of DNA-templated transcription regulation of transcription by RNA polymerase II transcription regulator complex protein dimerization activity RNA polymerase II cis-regulatory region sequence-specific DNA binding DNA binding nucleus DNA-binding transcription factor activity, RNA polymerase II-specific RNA polymerase II transcription regulator complex	Transcription
Cre01.g017550			Cre01.g017550	axoneme protein binding	Unknown
Cre01.g015700			Cre01.g015700	S-adenosylmethionine-dependent methyltransferase activity transferase activity methyltransferase activity methylation protein-lysine N-methyltransferase activity	Protein_Methylation
Cre01.g036400			Cre01.g036400	oxidoreductase activity oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	Redox_Metabolism
Cre01.g051000			Cre01.g051000	protein-arginine N-methyltransferase activity transferase activity methyltransferase activity methylation nucleus regulation of DNA-templated transcription chromatin remodeling histone methyltransferase activity peptidyl-arginine methylation	Protein_Methylation
Cre01.g041050			Cre01.g041050	membrane transmembrane transporter activity transmembrane transport plasma membrane amino acid transmembrane transporter activity amino acid transport amino acid transmembrane transport	Unknown
Cre01.g020100			Cre01.g020100	Unknown	Unknown
Cre01.g048950			Cre01.g048950	'de novo' pyrimidine nucleobase biosynthetic process pyrimidine nucleotide biosynthetic process orotate phosphoribosyltransferase activity orotidine-5'-phosphate decarboxylase activity 'de novo' UMP biosynthetic process transferase activity glycosyltransferase activity catalytic activity lyase activity carboxy-lyase activity UMP biosynthetic process pyrimidine nucleobase biosynthetic process	Pyrimidine
Cre01.g022650			Cre01.g022650	hydrolase activity beta-ureidopropionase activity beta-alanine biosynthetic process via 3-ureidopropionate hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides cytosol	Alanine
Cre01.g013750			Cre01.g013750	Unknown	Unknown
Cre01.g028350			Cre01.g028350	serine-type endopeptidase activity proteolysis hydrolase activity peptidase activity serine-type peptidase activity protein binding	Serine
Cre01.g003850			Cre01.g003850	iron ion binding oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen heme binding monooxygenase activity oxidoreductase activity metal ion binding	Redox_Metabolism
Cre01.g032700			Cre01.g032700	ATP binding glycolytic process glucokinase activity D-glucose binding glucose 6-phosphate metabolic process transferase activity kinase activity	Glycolysis
Cre01.g004050			Cre01.g004050	Unknown	Unknown
Cre01.g045200			Cre01.g045200	jasmonic acid biosynthetic process allene-oxide cyclase activity isomerase activity antibiotic biosynthetic process	Jasmonate_JA
Cre01.g071297			Cre01.g071297	Unknown	Unknown
Cre01.g009050			Cre01.g009050	Unknown	Unknown
Cre01.g043901			Cre01.g043901	Unknown	Unknown
Cre01.g002900			Cre01.g002900	Unknown	Unknown
Cre01.g028300			Cre01.g028300	Unknown	Unknown
Cre01.g012244			Cre01.g012244	Unknown	Unknown
Cre01.g021050			Cre01.g021050	TIM22 mitochondrial import inner membrane insertion complex protein insertion into mitochondrial inner membrane mitochondrial inner membrane protein transmembrane transport protein transmembrane transporter activity mitochondrion targeting sequence binding	Mitochondrial_Transport
Cre01.g050650			Cre01.g050650	Unknown	Unknown
Cre01.g048100			Cre01.g048100	Unknown	Unknown
Cre01.g053050			Cre01.g053050	Unknown	Unknown
Cre01.g038050			Cre01.g038050	membrane phosphorelay sensor kinase activity signal transduction phosphorelay signal transduction system transferase activity kinase activity protein kinase activity protein histidine kinase activity	Histidine
Cre01.g035050			Cre01.g035050	Unknown	Unknown
Cre01.g007811			Cre01.g007811	membrane cilium cell projection organization cilium assembly ciliary transition zone	Unknown
Cre01.g028400			Cre01.g028400	metal ion binding zinc ion binding	Unknown
Cre01.g026100			Cre01.g026100	tRNA 5'-leader removal ribonuclease P complex tRNA processing ribonucleoprotein complex endoribonuclease complex nucleolus ribonuclease MRP complex ribonuclease P RNA binding multimeric ribonuclease P complex	RNA_Processing
Cre01.g027500			Cre01.g027500	protein binding	Unknown
Cre01.g049200			Cre01.g049200	extracellular space	Unknown
Cre01.g036600			Cre01.g036600	nucleic acid binding exonuclease activity nucleus hydrolase activity nuclease activity rRNA 3'-end processing	Unknown
Cre01.g049450			Cre01.g049450	Unknown	Unknown
Cre01.g054600			Cre01.g054600	nucleus cytoplasm protein tyrosine phosphatase activity	Tyrosine
Cre01.g037050			Cre01.g037050	zinc ion binding DNA binding nucleus metal ion binding	Unknown
Cre01.g033763			Cre01.g033763	Unknown	Unknown
Cre01.g054750			Cre01.g054750	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding nucleus cytoplasm	Protein_Kinase_Signalling
Cre01.g046052			Cre01.g046052	ATP binding protein kinase activity protein phosphorylation cytoplasm protein serine/threonine kinase activity intracellular signal transduction	Serine
Cre01.g001671			Cre01.g001671	Unknown	Unknown
Cre01.g027100			Cre01.g027100	membrane serine-type endopeptidase activity protein processing involved in protein targeting to mitochondrion signal peptide processing serine-type peptidase activity proteolysis mitochondrial inner membrane peptidase complex hydrolase activity peptidase activity mitochondrial inner membrane endopeptidase activity	Serine
Cre01.g053288			Cre01.g053288	catalytic activity RNA processing RNA-3'-phosphate cyclase activity nucleotide binding ligase activity nucleus	Unknown
Cre01.g045640			Cre01.g045640	kinase activity transferase activity	Protein_Kinase_Signalling
Cre01.g061442			Cre01.g061442	ubiquitin-dependent protein catabolic process nucleus elongin complex protein-macromolecule adaptor activity jasmonic acid mediated signaling pathway	Jasmonate_JA
Cre01.g019300			Cre01.g019300	intracellular signal transduction cyclic nucleotide biosynthetic process	Unknown
Cre01.g045700			Cre01.g045700	heme binding response to oxidative stress catalase activity peroxidase activity oxidoreductase activity metal ion binding cellular oxidant detoxification cytosol hydrogen peroxide catabolic process cellular response to hydrogen peroxide	ROS_Scavenging
Cre01.g017300			Cre01.g017300	Unknown	Unknown
Cre01.g032800			Cre01.g032800	magnesium ion transmembrane transporter activity magnesium ion transmembrane transport magnesium ion transport	Unknown
Cre01.g017750			Cre01.g017750	Unknown	Unknown
Cre01.g028950			Cre01.g028950	Unknown	Unknown
Cre01.g051174			Cre01.g051174	regulation of DNA-templated transcription DNA-binding transcription factor activity	Transcription
Cre01.g028200			Cre01.g028200	ATP binding nucleic acid binding RNA helicase activity nucleotide binding helicase activity hydrolase activity nucleus cytoplasm mRNA binding ribonucleoprotein complex	RNA_Processing
Cre01.g038000			Cre01.g038000	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding translation protein serine/threonine kinase activity cytosol nucleus cytoplasm eukaryotic translation initiation factor 2alpha kinase activity protein binding	Serine
Cre01.g052050			Cre01.g052050	mitochondrion mitochondrial respiratory chain complex III assembly	Mitochondrial_ETC
Cre01.g003487			Cre01.g003487	mRNA splicing, via spliceosome U2-type spliceosomal complex	RNA_Splicing
Cre01.g002750			Cre01.g002750	Unknown	Unknown
Cre01.g008300			Cre01.g008300	Unknown	Unknown
Cre01.g039000			Cre01.g039000	protein homodimerization activity protein folding protein-folding chaperone binding adenyl-nucleotide exchange factor activity	Chaperone
Cre01.g028150			Cre01.g028150	mitochondrial respiratory chain complex III assembly mitochondrial matrix mitochondrial respiratory chain complex I assembly	Mitochondrial_ETC
Cre01.g036050			Cre01.g036050	ATP binding ATP hydrolysis activity mismatched DNA binding mismatch repair mismatch repair complex nucleus DNA repair DNA damage response MutLalpha complex DNA metabolic process	DNA_Repair
Cre01.g005450			Cre01.g005450	membrane	Unknown
Cre01.g025700			Cre01.g025700	intracellular signal transduction cyclic nucleotide biosynthetic process transmembrane transport membrane transmembrane transporter activity	Unknown
Cre01.g001750			Cre01.g001750	peptidyl-prolyl cis-trans isomerase activity protein folding protein transport isomerase activity protein folding chaperone ribosome binding protein unfolding	Proline
Cre01.g031100			Cre01.g031100	protein binding	Unknown
Cre01.g039800			Cre01.g039800	Unknown	Unknown
Cre01.g050700			Cre01.g050700	Unknown	Unknown
Cre01.g054500			Cre01.g054500	oxidoreductase activity proton transmembrane transport nucleotide binding mitochondrial inner membrane plasma membrane NADP binding NADPH regeneration proton-translocating NAD(P)+ transhydrogenase activity	Redox_Metabolism
Cre01.g014950			Cre01.g014950	Unknown	Unknown
