Pathway	GeneID	Symbol	Description	HL_vs_ML_log2FC	HL_vs_ML_padj
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	0.953391	0.000202999
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	0.00336854	0.987547
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	-0.2148	0.143344
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	-0.243813	0.529693
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	0.178679	0.705806
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	-0.0439829	0.835872
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	-0.0999101	0.508207
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	0.0611023	0.866293
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-0.596228	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.693281	0.000202999
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	0.475851	0.128955
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	-0.078847	0.669787
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	-0.00816651	0.962421
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	-0.14154	0.369724
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.412842	0.000903033
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	0.715721	0.000202999
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	0.211764	0.332752
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.286185	0.056466
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	-0.0808816	0.849458
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	0.828743	0.0964
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.0643945	0.758092
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	-0.0690099	0.665014
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	0.00576956	0.980503
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-0.503947	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.615401	0.000565493
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	0.00405557	0.981593
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	-0.188921	0.261523
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	-0.0286491	0.864462
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	-0.192909	0.206309
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.379	0.00586871
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	0.658722	0.000388788
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	-0.175306	0.407314
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.150191	0.342767
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	-0.158488	0.695426
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	1.53835	0.00106626
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.497716	0.0021481
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	-0.070144	0.647609
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	0.512895	0.0892109
EPA	Cz03g00250	FAD6	Omega-6 fatty acid desaturase (chloroplast)	-2.20528	0.00122728
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-1.32541	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.604235	0.000565493
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	0.175348	0.60001
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	-0.0608011	0.764993
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.625339	0.000202999
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	-0.408784	0.00358404
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.854256	0.000202999
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	1.20949	0.000202999
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	0.425717	0.0242928
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.0316298	0.85638
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	-0.733287	0.0641731
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	1.2444	0.00138519
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.59758	0.000202999
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	0.0711549	0.645494
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	0.25099	0.408904
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-1.45105	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.614674	0.000202999
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	0.410212	0.198713
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	-0.487664	0.0021481
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.398949	0.00184767
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	-0.256396	0.0860846
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.68345	0.000202999
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	0.971817	0.000202999
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	0.634112	0.000736335
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.532614	0.000202999
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	-0.570355	0.161219
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	1.89446	0.000388788
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.705958	0.000202999
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	0.102055	0.492856
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	0.195657	0.526898
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-1.35877	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.536794	0.000903033
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-0.0615829	0.857208
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	-0.597738	0.000202999
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.378466	0.00287867
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	-0.307765	0.0334879
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.649609	0.000202999
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	0.914818	0.000202999
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	0.247042	0.198024
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.396621	0.0048127
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	-0.647961	0.105927
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	1.06572	0.00344485
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.641563	0.000202999
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	0.171065	0.220394
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	0.189888	0.549253
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-0.854823	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	0.078607	0.71658
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-0.0656385	0.845114
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	-0.408817	0.0137648
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.407116	0.00287867
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	-0.114856	0.492856
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.270609	0.0657632
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	0.256096	0.135321
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	0.422348	0.0239751
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.24643	0.0841728
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	-0.489473	0.238822
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	1.49399	0.0015413
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.366631	0.0209953
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	-0.435179	0.000736335
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	0.0614528	0.873221
EPA	Cz03g00250	FAD6	Omega-6 fatty acid desaturase (chloroplast)	0.272024	0.388131
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-1.53955	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.772524	0.000202999
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	0.000718708	0.980664
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	-0.104057	0.599262
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.929125	0.000202999
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	0.119554	0.436547
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-1.11028	0.000202999
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	1.32018	0.000202999
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	0.342026	0.0809757
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	-0.0219557	0.901135
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	-0.424516	0.257997
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	1.20004	0.00184767
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.466495	0.00427207
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	-0.29388	0.0281356
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	-0.200453	0.549379
EPA	Cz03g00250	FAD6	Omega-6 fatty acid desaturase (chloroplast)	0.824408	0.0146835
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-1.66519	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.782964	0.000202999
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	0.235583	0.491342
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	-0.53092	0.000388788
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.702735	0.000202999
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	0.271943	0.0547379
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.939476	0.000202999
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	1.08251	0.000202999
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	0.550421	0.00440823
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.479029	0.000903033
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	-0.261585	0.526404
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	1.8501	0.000388788
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.574872	0.000388788
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	-0.26298	0.0550127
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	-0.255785	0.43302
EPA	Cz03g00250	FAD6	Omega-6 fatty acid desaturase (chloroplast)	0.564584	0.072444
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-1.57291	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.705083	0.000202999
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-0.236212	0.457114
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	-0.640994	0.000202999
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.682253	0.000202999
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	0.220574	0.131606
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.905634	0.000202999
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	1.02551	0.000202999
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	0.163351	0.42419
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.343035	0.016155
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	-0.339191	0.38683
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	1.02136	0.00494634
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.510477	0.0015413
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	-0.19397	0.163359
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	-0.261555	0.427668
EPA	Cz03g00250	FAD6	Omega-6 fatty acid desaturase (chloroplast)	2.29931	0.000202999
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-1.06897	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.0896826	0.682502
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-0.240267	0.449129
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	-0.452073	0.00612871
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.710902	0.000202999
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	0.413482	0.00287867
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.526634	0.000202999
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	0.366786	0.026588
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	0.338658	0.0774063
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.192844	0.191938
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	-0.180703	0.669787
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	-0.0443605	0.905529
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	-0.131086	0.449559
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	-0.365035	0.00638645
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	-0.451443	0.135392
EPA	Cz03g00250	FAD6	Omega-6 fatty acid desaturase (chloroplast)	2.4773	0.000388788
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-0.214142	0.150652
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.16829	0.399404
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-0.174629	0.596552
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	-0.0432563	0.839041
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.303786	0.0207823
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	0.528338	0.000388788
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.256025	0.0928057
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	0.11069	0.54835
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	-0.0836906	0.697418
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	-0.0535855	0.748621
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	0.30877	0.489162
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	-1.62782	0.0409973
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.20869	0.230543
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	-0.320526	0.0133037
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	0.28449	0.389775
EPA	Cz03g00250	FAD6	Omega-6 fatty acid desaturase (chloroplast)	-0.142741	0.692571
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	0.212835	0.118694
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.0652636	0.739974
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-0.193498	0.581781
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	1.54953	0.000202999
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.441869	0.000736335
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	0.112931	0.463704
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.239481	0.0833346
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	0.354692	0.0899482
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	-1.12335	0.000202999
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.574054	0.000202999
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	0.137599	0.718311
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	-1.92177	0.0215329
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.308554	0.0671588
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	-0.179227	0.205927
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	0.0225847	0.946077
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	0.0871933	0.563355
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.0757031	0.690218
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	0.0413666	0.922652
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	1.12267	0.000202999
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.215479	0.115223
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	0.26532	0.0615943
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.0686753	0.66011
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	0.117022	0.6006
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	-0.914952	0.000388788
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	1.07504	0.000202999
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	0.300531	0.409838
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	-1.27171	0.0960697
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.416932	0.0124881
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	-0.148327	0.307563
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	-0.032748	0.929137
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	0.179474	0.195168
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	0.00217744	0.990665
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-0.430429	0.172431
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	1.01259	0.000202999
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.194997	0.159134
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	0.213951	0.142742
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.0348336	0.834041
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	0.0600227	0.798188
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	-1.30202	0.000202999
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.939045	0.000202999
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	0.222924	0.543813
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	-2.10045	0.0167113
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.352537	0.0366349
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	-0.0793167	0.604427
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	-0.0385176	0.911087
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	0.683421	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	0.617578	0.000202999
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-0.434484	0.165658
